cookie_id,session_id,last_action,user_name,conversion_id
de72244e-ff53-44e6-a1d7-a3ba67cacafc,eab85848-bb5a-4cd4-9bd3-715ecc53d8c8,2019-01-14 13:57:26,,
67b49042-cb5f-4acb-8787-25cd6d2ce956,992bc0d1-933e-44a9-a68e-e8da8f422c95,2020-10-15 05:14:27,brianbates,
b9b95719-1bea-4ecf-870f-65fe85b085ed,8b68122f-e8ce-4646-ab39-6454d5c56f23,2018-10-06 10:46:18,michelle06,
b5436797-5d5f-4f26-a142-49bd4492f96a,4bb98263-6959-4b54-a236-d2d085eb863b,2013-02-10 21:54:58,,
1bd18320-4e10-40b8-83e5-c522b04e1a35,c59859c6-89b2-4d7d-a4c2-32db4321df2b,2016-12-20 04:55:23,lklein,"x249,x3569"
33f04f00-3fa6-4de3-b0be-013d9ab52934,90feb74c-f7a3-489c-8bc0-a23ec030b280,2017-10-23 17:34:16,dshepherd,"x6334,x6666"
1b348f94-c96e-449b-a615-b96502bc7755,d1fe8e28-dae9-443c-a708-d1ca2fe953d9,2015-12-15 12:39:13,fuentesnatasha,
35ccbbec-1e12-4d43-9d1e-c34062aaee76,8e0bb95f-810c-4177-bbe6-00994bd7f838,2019-12-30 06:04:34,rachelmiller,"x8609,x9425"
a59676e2-6cdb-411f-b891-0d78b00180cf,67c4c724-d670-4802-b28b-ad92991c3a79,2013-07-03 15:00:19,hbrennan,
6f72139b-f83f-4d33-a869-bae41eaac8e8,6fca0361-617e-4e76-84b9-880d39e3538c,2015-05-29 06:13:44,marcusmosley,
a04e3052-de0c-44ec-b5fb-7fc9db87717c,a3833084-33e0-488d-bf45-84e7f6ab9585,2016-09-11 22:38:05,brandy18,
868ea45f-0a4e-4a0a-847c-117dbd4153ac,d0c9356c-409a-4d1f-bcae-91b7f939f0e8,2013-03-29 08:45:12,,"x5116,x9831"
0c1cdcd7-9298-48e4-a8c3-dddaf78f6d33,228eb29f-65eb-4048-b1d6-8ed643343c7d,2012-12-11 19:51:20,,"x4249,x6224"
873d7f65-9f1d-4838-a6bd-d70f4f5acd4e,717769de-3b6f-459a-bd0a-7603958e9ab6,2017-04-09 04:10:45,,"x1006,x8877"
21dbd876-6f21-4350-88bd-74d4a7977523,47b47942-88a1-4f78-8310-75a8e5ede471,2017-12-06 03:01:12,,
4d2f555f-e9c5-4d9e-8359-766f1c3960cc,353a78d2-6848-4366-be15-d741fa09563f,2021-04-04 15:39:53,hallmichael,"x757,x3358"
436ee108-c659-418c-8bf4-ed2a6c8e2664,62a5d0cf-06ce-4100-bdd6-9e3d2e1df09a,2016-07-18 06:01:05,,
bcb74ed4-45d6-4bc2-8a70-6d30b8a7dd5f,0cd5002e-cca9-400d-a439-cf6f816c66ab,2020-06-17 20:40:52,,"x4735,x1453"
40eede4d-7261-44a4-96e3-6d36a68fe806,03d6428e-2417-4774-8a15-2c8af523b854,2014-10-06 21:36:57,,
abbf6c52-d851-4709-8738-4737772dd937,1f96bf38-d0a4-467f-ab0a-60063350f20a,2014-10-22 11:16:29,newmanbrenda,"x6842,x3610"
33a61663-5645-4691-80e3-c61ae7b12c5b,9290d2c8-8d89-441b-90d4-8f8b5737a049,2022-04-22 08:42:42,,"x339,x6283"
174609f7-cb8f-4c26-9ea9-982f683e8cf1,d2b4e4dc-71d2-4a60-84c0-bfe6f984b632,2013-01-12 19:25:41,,
ee6e2037-e196-43a0-89f1-cdbec2e7530e,f8aa57ed-4350-4d78-8045-47b42ab14c2d,2020-10-04 09:06:46,,"x4151,x8375"
cedf21e2-09ce-48f7-b978-5eb34cd2dc3d,925b8602-39c7-48ae-8a60-08dbf889652a,2021-04-20 07:20:10,emiller,"x6603,x3984"
0ccaf550-eef2-4e87-818a-c75d658f95fd,83fd261b-4267-4c64-872a-2e5949dfee92,2019-11-12 16:51:49,lori08,"x9469,x8336"
70193f0a-8d48-4fe4-9153-6cd9172abf1c,de703ca4-a8b7-41f4-a677-9d9316b1ab19,2013-07-13 14:39:54,,"x9018,x7452"
e8c158af-5797-474b-bd7a-ad15785ceff7,00942191-d43f-4e38-89ca-5e6ffaa23714,2015-05-10 09:03:54,ramirezlaura,"x8227,x5776"
2306ea70-2c54-4ba3-9076-90986ff862c3,e66ff75f-40f4-46fa-b3bb-9fa99ffb74ef,2019-09-12 03:29:55,stephanie29,"x5990,x8556"
06b155a9-58c0-452a-bc22-14e70e185322,b7ccb994-261d-431d-b2ff-e17afddbf6f7,2021-01-14 22:53:50,pguerrero,
e9fea204-f8fa-4dc1-8225-81ea45511e1e,7987fb0b-1356-4583-842d-90c72da85677,2017-11-20 06:23:05,,"x8868,x2138"
88539813-3f29-470e-b9d1-942abeabae46,f264c070-d844-4c16-ab86-d9dd5e89eeb4,2012-10-23 10:09:17,swoods,"x9415,x47"
