session_id,client_ip,client_platform,canonical_url,domain_name,app_id,device_id,events,start_timestamp,start_event,end_timestamp,end_event,session_duration_sec,user-agent
eab85848-bb5a-4cd4-9bd3-715ecc53d8c8,115.17.151.56,web,http://www.anthony.info/,holden.biz,health_providers,,11,2019-01-14 13:28:37,SingIn,2019-01-14 13:57:26,SingIn,1729,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.1)
99441235-a184-4103-9bb5-34bd41dcd651,205.186.226.110,mobile,https://www.dixon.org/,harris-taylor.com,ecommerce,D4A66089CE6916C6,6,2018-02-24 19:27:18,Whishlist,2018-02-24 19:45:03,Search,1065,Opera/9.99.(Windows 95; om-ET) Presto/2.9.181 Version/10.00
e5e4665d-5fd2-4950-a264-3d62c59b68e9,221.181.54.184,mobile,https://brown-logan.com/,hill-miller.com,travel,6F0549EFC2124A75,4,2012-06-22 12:45:33,DiscardCard,2012-06-22 12:46:32,Whishlist,59,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_7; rv:1.9.2.20) Gecko/3374-04-24 18:35:50 Firefox/3.8
fc4dc68f-85c6-460b-8c5f-db124cf2b671,214.180.246.70,mobile,https://jackson.info/,walker.com,ecommerce,06A74A3EEF52A636,9,2019-08-05 17:08:32,CompareProducts,2019-08-05 17:21:33,SingIn,781,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 4.0; Trident/4.0)
e9ab620d-1b45-427b-850d-6769e19c4eca,199.59.84.11,mobile,http://www.hill-higgins.net/,atkinson.net,health_providers,6FCB5F438EB44BF7,2,2016-10-08 00:45:21,PageView,2016-10-08 01:12:08,SingUp,1607,"Mozilla/5.0 (Linux; Android 3.1) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/41.0.819.0 Safari/534.1"
992bc0d1-933e-44a9-a68e-e8da8f422c95,55.150.163.84,web,https://www.dudley-campbell.net/,garcia-fisher.com,ecommerce,,2,2020-10-15 04:59:20,PageView,2020-10-15 05:14:27,CompareProducts,907,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/31.0.898.0 Safari/533.1"
5932cf6c-c13a-487e-a7f1-a6189116a88a,190.248.34.169,mobile,http://hernandez-miller.org/,griffin-juarez.com,health_services,A6DFBCBD12D46DCB,16,2020-07-12 03:36:50,SingIn,2020-07-12 03:52:58,ProductView,968,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/6089-07-12 22:23:49 Firefox/8.0
c7c7c492-b811-4da7-890d-c0e2ab89e515,35.99.245.223,mobile,https://harvey-gilbert.biz/,smith-golden.com,health_services,36884E258FED812C,12,2015-02-09 11:45:01,DiscardCard,2015-02-09 11:45:38,SingUp,37,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/58.0.828.0 Safari/535.1"
8b68122f-e8ce-4646-ab39-6454d5c56f23,202.176.94.240,web,https://www.nolan-mayo.com/,herrera.com,ecommerce,,13,2018-10-06 10:22:25,SingIn,2018-10-06 10:46:18,ProductView,1433,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_9) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/18.0.848.0 Safari/532.1"
0fd23308-f76f-4735-a670-4b70b94f1439,41.139.153.60,mobile,http://www.kerr.com/,nguyen-bailey.com,ecommerce,30D71F06C944FAE2,10,2020-12-20 03:50:53,CompareProducts,2020-12-20 04:09:46,Purchase,1133,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.2; Trident/5.1)
bdb8391c-cdb6-421a-a420-6984dc91636f,159.235.242.242,mobile,http://www.wilson.com/,nunez.com,ecommerce,73749D24286D2FCB,8,2019-06-29 21:37:46,CompareProducts,2019-06-29 21:53:05,ProductView,919,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_1 rv:4.0; sq-AL) AppleWebKit/533.32.6 (KHTML, like Gecko) Version/5.1 Safari/533.32.6"
5b7a6546-2f56-4b95-bd34-10513b5df434,223.55.183.209,mobile,http://www.barnes-rollins.com/,ramos-kelly.net,health_services,67E55A5A460208C9,25,2018-01-17 19:04:06,CompareProducts,2018-01-17 19:30:45,SingUp,1599,Opera/9.60.(Windows NT 5.2; kl-GL) Presto/2.9.166 Version/10.00
fa488945-9f1b-4d8a-b7c8-0670f37a1f44,52.175.58.123,mobile,https://www.flores.com/,moore-murphy.info,health_providers,8EC3594EDCAFB04E,13,2016-03-03 15:07:34,SingIn,2016-03-03 15:10:30,SingIn,176,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/531.50.5 (KHTML, like Gecko) Version/5.1 Safari/531.50.5"
23d99ab3-19dc-4d14-ad49-284adc7cfa06,199.123.176.219,mobile,http://jackson.net/,nielsen.com,ecommerce,2D22FEF26E69DBF4,5,2019-05-25 16:44:15,DiscardCard,2019-05-25 17:06:00,Purchase,1305,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/29.0.834.0 Safari/535.1"
14965554-28c0-4389-8d03-b59158d42bcc,178.19.118.177,mobile,http://www.bridges.com/,king.biz,ecommerce,A0BB7E933E406B77,8,2014-05-29 18:27:43,Purchase,2014-05-29 18:53:19,Search,1536,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.01; Trident/5.0)
98acb337-ff07-4acb-966d-697d46999c8f,180.255.141.42,mobile,http://rogers.com/,knight.com,travel,21C7B1A9BF718B00,15,2013-12-14 21:30:15,CompareProducts,2013-12-14 21:35:24,PageView,309,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ms-MY) AppleWebKit/535.25.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.25.3"
4bb98263-6959-4b54-a236-d2d085eb863b,196.150.108.153,web,https://www.leonard.com/,york-parsons.com,health_services,,12,2013-02-10 21:26:09,Purchase,2013-02-10 21:54:58,ProductView,1729,"Mozilla/5.0 (Linux; Android 4.0.3) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/36.0.886.0 Safari/535.0"
e559c4ad-aac3-4b9d-938b-f90cf5db47cd,61.56.85.116,mobile,https://www.suarez.com/,lewis.org,travel,9089D1504CDABDB1,22,2013-07-17 15:30:25,PageView,2013-07-17 15:44:42,DiscardCard,857,Mozilla/5.0 (compatible; MSIE 9.0; Windows 95; Trident/5.0)
4a56ae66-c3bd-4760-a2a0-11b04fb838ba,198.48.174.152,mobile,https://www.flores.com/,alexander-richards.com,health_providers,01951CC0F1CCF734,16,2013-01-12 21:44:30,Whishlist,2013-01-12 21:47:33,SingIn,183,Mozilla/5.0 (Windows NT 5.2; th-TH; rv:1.9.0.20) Gecko/9944-04-08 01:36:41 Firefox/3.6.14
14839667-710d-4e4e-b434-8c8048526cd7,27.11.222.106,mobile,http://www.gill.com/,schmidt.org,health_services,A6F5D2CE3D9B2195,30,2019-11-14 04:53:17,Whishlist,2019-11-14 05:03:37,SingIn,620,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_2 rv:3.0; hsb-DE) AppleWebKit/531.13.4 (KHTML, like Gecko) Version/5.0 Safari/531.13.4"
c59859c6-89b2-4d7d-a4c2-32db4321df2b,64.122.24.83,web,http://ross.com/,jackson.biz,travel,,16,2016-12-20 04:37:18,DiscardCard,2016-12-20 04:55:23,DiscardCard,1085,Opera/9.99.(X11; Linux i686; sat-IN) Presto/2.9.161 Version/10.00
90feb74c-f7a3-489c-8bc0-a23ec030b280,14.228.88.138,web,http://moss.com/,hayes.org,travel,,22,2017-10-23 17:29:42,SingIn,2017-10-23 17:34:16,CompareProducts,274,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_0) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/16.0.857.0 Safari/536.0"
d1fe8e28-dae9-443c-a708-d1ca2fe953d9,44.205.50.202,web,https://www.anthony.net/,stephens-gibson.com,travel,,30,2015-12-15 12:35:01,CompareProducts,2015-12-15 12:39:13,Purchase,252,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/4.1)
8e0bb95f-810c-4177-bbe6-00994bd7f838,200.231.151.205,web,https://martinez.net/,martin-anderson.info,travel,,2,2019-12-30 05:59:43,DiscardCard,2019-12-30 06:04:34,CompareProducts,291,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2 rv:3.0; xh-ZA) AppleWebKit/533.2.5 (KHTML, like Gecko) Version/5.1 Safari/533.2.5"
67c4c724-d670-4802-b28b-ad92991c3a79,135.107.84.100,web,http://hardy.info/,smith.com,travel,,13,2013-07-03 14:37:48,Purchase,2013-07-03 15:00:19,DiscardCard,1351,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_7) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/48.0.830.0 Safari/535.2"
717e75a5-0216-482e-9ee4-81c25b212ac2,192.2.90.179,mobile,https://www.hayes.com/,bailey.com,health_providers,35CF186B3DA9375D,10,2018-06-18 00:01:34,Search,2018-06-18 00:10:43,Purchase,549,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/57.0.892.0 Safari/536.0"
f054fb89-600a-49ed-9153-ade392e2337c,56.18.158.121,mobile,http://www.gibson-martin.com/,george-herring.com,ecommerce,ED003F52958365A3,30,2019-08-28 09:38:48,ProductView,2019-08-28 10:07:32,ProductView,1724,Opera/9.58.(Windows 98; Win 9x 4.90; ha-NG) Presto/2.9.173 Version/12.00
ff9b204d-17fe-4f26-be89-f0fd4807bb79,185.212.181.145,mobile,https://www.cook.biz/,daugherty.net,travel,2E9FC167380B1C4A,3,2017-11-06 10:44:31,PageView,2017-11-06 11:05:27,SingUp,1256,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/3.1)
6fca0361-617e-4e76-84b9-880d39e3538c,172.11.75.113,web,https://www.walsh-bailey.biz/,murphy-prince.org,health_services,,14,2015-05-29 06:02:10,Search,2015-05-29 06:13:44,Purchase,694,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/535.18.3 (KHTML, like Gecko) Version/5.0 Safari/535.18.3"
29208d5c-5289-41f0-a696-48dcb587996a,203.65.241.188,mobile,https://www.wilson.com/,flynn-mata.com,ecommerce,C6193AF256BDE7F4,23,2017-08-27 12:26:40,SingUp,2017-08-27 12:37:02,SingIn,622,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/4676-10-05 18:16:01 Firefox/4.0
0e219f67-cbca-4d43-bf5c-a53e770a2f88,172.192.240.18,mobile,http://www.villa.com/,trujillo-shepard.com,ecommerce,556695B479118CF9,29,2014-10-16 13:25:23,Search,2014-10-16 13:25:55,SingUp,32,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_5 rv:5.0; rw-RW) AppleWebKit/535.42.2 (KHTML, like Gecko) Version/5.0.2 Safari/535.42.2"
9f81e70e-0c1a-49a7-a2b3-ac87aa6a4abc,98.244.214.119,mobile,https://www.thomas-ortiz.info/,thompson.com,ecommerce,D32921C9D9234292,24,2021-05-05 14:34:13,ProductView,2021-05-05 15:03:05,CompareProducts,1732,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5 rv:2.0; wae-CH) AppleWebKit/533.50.6 (KHTML, like Gecko) Version/4.1 Safari/533.50.6"
2d0246c6-a625-4efd-860f-bc7501b9f7b8,209.58.26.130,mobile,http://johnson-gonzalez.biz/,bartlett.org,health_services,B07DBCD0349C2E6C,4,2022-03-07 00:39:38,Search,2022-03-07 00:49:09,ProductView,571,Mozilla/5.0 (Windows NT 6.2; fil-PH; rv:1.9.1.20) Gecko/2653-08-16 16:25:53 Firefox/3.6.13
