cookie_id,session_id,last_action,user_name,conversion_id,session_duration_sec
a85f8492-7b14-4ac7-a8f6-e54ad58067e9,c00a356b-45fb-4d5b-8a6e-711478918334,2021-08-12 10:40:17,,"x8522,x9598",227
bae40afa-5a9a-4891-889f-dc8f8b62fe8b,007680eb-8593-49a8-8854-0b8c7db96cf3,2015-07-13 09:34:53,,,147
fa5bf02a-7d70-46f6-b3ef-5219d20d7c0e,d3e720b6-98e5-4941-bf04-b3744af884cb,2022-05-15 22:47:47,mariowalker,,722
20269a2d-7128-44b0-af51-ac78c760b343,2be4eb98-aefe-4c56-8cf6-179eb629ead0,2013-05-05 19:19:32,cohenstefanie,"x4766,x6646",372
fe95d53a-dc3b-4c3b-8303-8313ced54c74,9e38fd09-594c-4367-bda3-65c112be3b21,2020-06-09 00:15:43,natalie29,"x2763,x9818",650
8abc818c-8af9-4312-ab02-67ccbc29a62a,3a9a6e30-9183-4194-99d7-f76f5bb525bd,2019-06-29 17:14:54,,"x8840,x5378",466
926d3c89-e9c9-46c6-a2bc-69cd070bbbdd,910263a0-48a5-41fb-82fa-2b265b287484,2016-08-24 03:31:10,natashamendez,"x8382,x3192",1110
0ac5c5dd-721f-46e6-80de-7f18fd23edbe,3a3e87bb-432f-4a17-a8cf-b88bee0494eb,2022-04-24 00:37:22,uowens,,123
c6ac004a-a729-4394-bce9-e8078256e36b,c5147694-48db-42f0-b50a-392648953130,2018-02-08 04:19:39,barrdiane,"x295,x9688",573
098c8e7e-110e-40c3-9d72-476f7161d94d,362531c9-09d7-4eb5-bd79-de1c8fbba9b1,2017-12-05 17:56:25,pflowers,"x1623,x9717",306
3ded80f0-e9f1-44e0-9b15-209b7334eaed,1be5455d-3726-4215-88b8-18bda925b08f,2015-09-26 05:09:29,,,1771
4b8f3134-9f39-413a-b709-ee16b3242797,58ac6e08-50b1-42b2-a411-1109558f091d,2018-10-22 16:33:16,,,1009
a9493252-2dd5-4ff4-8314-addeea089b32,2f6c145b-4a24-4d01-b246-125f6a7f2085,2012-11-11 09:02:47,,,1389
2a3efad4-585b-4dc9-8547-0b3efcc23b79,887244f7-b663-4edf-a1ea-851707b27ca2,2014-12-02 03:47:59,cindyhenderson,"x6104,x9576",1164
277f1bf1-f381-44ba-9984-6e1295372be4,6cb50196-c36a-46c4-b505-432885189222,2021-06-01 12:46:25,,,1619
9ae2bc16-ec02-4b8a-b84c-51d84561b3a0,14de02dd-8668-44a3-811c-90da2c87a241,2019-02-08 00:57:24,,,112
ac7c6004-263c-4349-8385-ffcdaca3b8c6,9e13dbe5-2065-4cb6-a63f-cdf472f58847,2020-05-12 07:30:20,tonyjohnson,,726
c8dddf40-2765-4384-a002-3dc1ecaa55b2,3d0833ae-845e-4e70-a3f0-90f268913dfc,2013-01-11 17:04:13,shendrix,,656
79b82c4f-7958-47c6-bad6-501ba57bc303,656ef253-fb59-4dd0-b053-a10527379433,2021-05-11 06:47:32,,,1193
2151e24c-9207-49ac-9885-2f33fc04cd6c,47f10931-524b-4d87-8527-eda3307b4f73,2021-12-26 18:56:52,ricky29,,1449
30ca2163-d077-4b6a-abc5-91f3c5257f81,d25b717e-49b0-4b23-b8be-0e64aab73233,2016-02-28 20:59:54,,"x7922,x94",488
b878f60d-b395-43ed-bd54-d66b4775c668,3a501dce-1c88-4234-93cf-8599f8f964b9,2014-11-03 11:21:39,,,938
52a05514-d9fc-4c0b-a14b-da5ddf5f4411,b97ef5bc-0abe-4a90-b575-a193572ac1a0,2015-03-12 20:33:31,elizabethcline,"x5812,x1907",1078
54fb8026-37fc-4a0b-a833-0e467adf8f04,b205a993-42b1-485e-851e-80daae8d06cc,2015-06-23 04:30:23,catherine76,"x8269,x221",709
788a9879-b38b-4fd0-85cd-4a2f5da05f98,86b86fc2-6b02-4f83-b721-02016375b3d7,2014-01-25 08:53:51,,"x504,x4679",1603
86ccbf63-dfb3-415e-8e6a-e3605acadfef,9fea2473-a82e-4390-b28e-e936cd2b1375,2015-02-08 13:13:45,danielcooper,,865
a776d0d2-9fc5-407d-83fb-efbdb9de42d7,ac6b4b04-0779-456a-b3f5-ddcd76988d56,2015-11-03 07:51:25,,"x6303,x4050",648
b0b9ad6e-f1d6-4d3d-917f-495d41323102,50f8c635-86eb-4472-afd1-4e972d582b00,2012-11-20 10:24:09,vaughanwhitney,,285
